Timestamp,Kinect_LeftShoulder_Ext.-Flex.,IMU_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,IMU_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,IMU_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Pro.-Sup.,Kinect_RightShoulder_Ext.-Flex.,IMU_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,IMU_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,IMU_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,IMU_RightElbow_Ext.-Flex.,IMU_RightElbow_Pro.-Sup.
0.21,-4.94,2.46,13.00,-4.81,0.00,165.42,24.09,73.39,64.90,-8.19,0.00,15.34,0.00,0.00,10.00,26.52,0.00,0.00
0.35,-4.97,2.46,12.70,-4.81,0.00,165.42,23.88,73.39,64.90,-8.30,13.38,15.31,9.74,0.00,-71.27,26.44,88.28,91.24
0.45,-5.17,2.46,12.59,-4.81,0.00,165.42,24.05,73.39,64.90,-8.27,13.38,15.25,9.74,0.00,-71.27,26.28,88.28,91.24
0.57,-5.25,2.46,12.35,-4.81,0.00,165.42,23.96,73.39,64.90,-8.19,13.38,15.17,9.74,0.00,-71.27,26.07,88.28,91.24
0.69,-5.36,2.46,12.30,-4.81,0.00,165.42,24.05,73.39,64.90,-8.34,13.38,15.26,9.74,0.00,-71.27,26.81,88.28,91.24
0.81,-5.35,2.48,12.21,-5.40,0.00,165.43,24.16,75.99,67.44,-8.80,13.38,15.51,9.74,0.00,-71.27,27.79,88.28,91.24
0.94,-5.34,-0.04,12.15,-3.10,0.00,-171.40,24.13,75.99,67.44,-8.90,8.29,15.60,11.28,0.00,-95.03,28.05,88.28,91.24
1.04,-5.38,-0.04,12.17,-3.10,0.00,-171.40,24.16,75.99,67.44,-9.00,8.29,15.64,11.28,0.00,-95.03,28.20,88.28,91.24
1.13,-5.26,0.18,12.10,-2.86,0.00,-171.42,24.24,75.99,67.44,-8.93,8.52,15.65,11.05,0.00,-95.03,28.24,88.28,91.24
1.23,-5.29,-0.17,12.22,-2.74,0.00,-171.31,24.45,75.99,67.44,-8.88,8.14,15.65,10.94,0.00,-95.18,28.24,88.28,91.24
