Timestamp,IMULS_X,IMULS_Y,IMULS_Z,IMULS_Ynew,IMULS_Znew,IMULE_X,IMULE_Y,IMULE_Z,IMULElbow,IMURS_X,IMURS_Y,IMURS_Z,IMURS_Ynew,IMURS_Znew'IMURE_X,IMURE_Y,IMURE_Z,IMURElbow,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.56,0.00,0.00,0.00,0.00,0.00,84.53,-1.34,-124.55,84.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.59,0.00,0.00,0.00,0.00,0.00,84.53,-1.34,-124.55,84.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.77,100.01,41.09,-69.46,76.20,97.52,84.53,-1.34,-124.55,105.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.81,99.26,41.37,-70.24,76.49,96.94,84.53,-1.34,-124.55,105.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.82,99.26,41.37,-70.24,76.49,96.94,84.53,-1.34,-124.55,105.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.88,99.32,41.81,-70.00,76.35,96.94,84.53,-1.34,-124.55,105.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.93,99.50,41.79,-70.18,76.64,97.07,84.53,-1.34,-124.55,105.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.01,99.54,41.64,-70.31,76.79,97.11,84.53,-1.34,-124.55,105.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.04,99.54,41.64,-70.31,76.79,97.11,84.53,-1.34,-124.55,105.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.08,99.54,41.64,-70.31,76.79,97.11,-114.45,49.25,-60.40,105.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.10,-14.08,22.38,-6.83,66.69,26.25,-114.45,49.25,-60.40,105.67,96.33,77.55,46.13,129.93,91.36,0.00,0.00,0.00,0.00
2.11,-14.08,22.38,-6.83,66.69,26.25,-114.02,48.89,-60.80,105.52,96.33,77.55,46.13,129.93,91.36,0.00,0.00,0.00,0.00
2.21,-14.49,21.90,-6.07,67.32,26.06,-114.02,48.89,-60.80,105.44,96.33,77.55,46.13,129.93,91.36,0.00,0.00,0.00,0.00
2.22,-14.49,21.90,-6.07,67.32,26.06,-114.02,48.89,-60.80,105.44,96.33,77.55,46.13,129.93,91.36,0.00,0.00,0.00,0.00
